catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
balanced worlds,balanced worlds,Balanced Worlds,balancedworlds.com,NA,NA,video game industry,
balena,balena,Balena,balena.io,NA,NA,software industry,
baltic soft,baltic soft,Baltic Soft,baltic-soft.com,NA,NA,information technology,
bam! entertainment,bam! entertainment,BAM! Entertainment,NA,United States of America,NA,video game industry,
bamberger kalikofabrik,bamberger kalikofabrik,Bamberger Kalikofabrik,NA,Germany,Venesta,Manufacture of other technical and industrial textiles|textile and clothing industry,
banana grove studio,banana grove studio,Banana Grove Studio,NA,Japan,NA,video game industry,
bandai co ltd,bandai co ltd,"Bandai Co., Ltd.",bandai.co.jp|bandai.com|bandaieurope.com,Japan,Bandai Namco Holdings,video game industry,
bandai namco holdings,bandai namco holdings,Bandai Namco Holdings,bandainamco.co.jp,Japan,NA,video game industry,
bandai namco studios,bandai namco studios,Bandai Namco Studios,bandainamcostudios.com,Japan,NA,video game industry,
bandai visual,bandai visual,Bandai Visual,bandaivisual.co.jp,Japan,Bandai Namco Holdings,video game industry|film industry,
banjo,banjo,Banjo,NA,NA,NA,software industry,
bare bones software,bare bones software,Bare Bones Software,barebones.com,United States of America,NA,software industry,
barking lizards technologies,barking lizards technologies,Barking Lizards Technologies,barkinglizards.com,United States of America,NA,video game industry,
base one international,base one international,Base One International,boic.com,NA,NA,software,
baseimmune ltd,baseimmune ltd,Baseimmune Ltd.,baseimmune.co.uk,United Kingdom,NA,biotechnology|vaccine,
basis technology corp,basis technology corp,Basis Technology Corp.,basistech.com,United States of America,NA,information technology,
basiscape,basiscape,Basiscape,basiscape.com,Japan,NA,video game industry,
bavarian nordic,bavarian nordic,Bavarian Nordic,bavarian-nordic.com,Denmark,NA,biotechnology,
baxalta,baxalta,Baxalta,baxalta.com,United States of America,NA,biotechnology,
baynote,baynote,Baynote,baynote.com,NA,NA,software,
bazaarvoice,bazaarvoice,Bazaarvoice,bazaarvoice.com,NA,NA,software company,
bbc multimedia,bbc multimedia,BBC Multimedia,NA,United Kingdom,NA,video game industry,
bbn holding,bbn holding,BBN Holding,bbn.one,United States of America,NA,Internet|information technology|software development|software industry|internet industry,
bea systems,bea systems,BEA Systems,bea.com,United States of America,NA,software company,
beacon pharmaceuticals,beacon pharmaceuticals,Beacon Pharmaceuticals,beaconpharma.com.bd,NA,NA,biotechnology|pharmaceutical industry,
beagle bros,beagle bros,Beagle Bros,NA,NA,NA,software,
beamdog,beamdog,Beamdog,beamdog.com,Canada,NA,video game industry,
beanywhere,beanywhere,BeAnywhere,mspanywhere.com,NA,NA,software,
beat communicationincltd,beat communicationincltd,"Beat Communication,Inc.Ltd.",NA,NA,NA,software,
beat games,beat games,Beat Games,beatgames.com,Czech Republic,"Facebook, Inc.",video game industry,
bechtle,bechtle,Bechtle,bechtle.com,Germany,NA,information technology,
beck technology,beck technology,Beck Technology,beck-technology.com,NA,NA,software,
beckman coulter,beckman coulter,Beckman Coulter,beckmancoulter.com,United States of America,Danaher Corporation,biotechnology,
bede gaming,bede gaming,Bede Gaming,bedegaming.com,NA,NA,software industry,
beeline group,beeline group,"Beeline Group, Inc.",NA,United States of America,NA,video game industry,
behavox,behavox,Behavox,NA,United States of America,NA,financial technology,
beijing roborock technology co ltd,beijing roborock technology co ltd,"Beijing Roborock Technology Co., Ltd.",roborock.com,People's Republic of China,NA,technology,
belarc,belarc,Belarc,belarc.com,NA,NA,software,
belhard,belhard,BelHard,belhard.com,Belarus,NA,telecommunication|mass media|information technology,
benevity,benevity,Benevity,benevity.com,Canada,NA,software industry,
benford labs,benford labs,Benford Labs,benfordlabs.com,United Kingdom,NA,software development,
bentley systems,bentley systems,Bentley Systems,bentley.com,NA,NA,software industry,
bergsala,bergsala,Bergsala,bergsala.se,Sweden,NA,video game industry,
berkeley software design,berkeley software design,Berkeley Software Design,NA,United States of America,NA,software,
berkeley systems,berkeley systems,Berkeley Systems,NA,United States of America,NA,video game industry,
best service gmbh,best service gmbh,Best Service GmbH,bestservice.de|bestservice.com|bestservice.fr,Germany,NA,software industry,
bettercloud,bettercloud,BetterCloud,bettercloud.com,NA,NA,software industry,
beyond software,beyond software,Beyond Software,NA,United Kingdom,NA,video game industry,
bharat biotech international,bharat biotech international,Bharat Biotech International,bharatbiotech.com,India,NA,biotechnology,
bharat electronics,bharat electronics,Bharat Electronics,bel-india.in,India,NA,electronic warfare|aerospace manufacturer|software-defined radio|software-defined networking|communication device|electronics industry|defense industry,
bhv,bhv,BHV,NA,NA,NA,video game industry,
bia separations,bia separations,BIA Separations,biaseparations.com,NA,NA,biotechnology,
bibliocommons,bibliocommons,BiblioCommons,bibliocommons.com,Canada,NA,software development|software industry|technology industry,
big finish games,big finish games,Big Finish Games,bigfinishgames.com,United States of America,NA,video game industry,
big five software,big five software,Big Five Software,bigfivesoftware.com,NA,NA,video game industry,
bigid,bigid,BigID,bigid.com,United States of America|Israel,NA,software industry,
bihou co ltd,bihou co ltd,"Bihou Co., Ltd.",NA,Japan,NA,video game industry,
biicode,biicode,biicode,biicode.com,NA,NA,software industry,
billguard,billguard,BillGuard,NA,NA,NA,software industry,
bio synthesis,bio synthesis,"Bio-Synthesis, Inc.",biosyn.com,United States of America,NA,biotechnology,
biocentras,biocentras,Biocentras,NA,Lithuania,NA,biotechnology,
biocon,biocon,Biocon,biocon.com,India,NA,biotechnology,
biodigital,biodigital,BioDigital,biodigital.com,NA,NA,biotechnology,
bioimage,bioimage,BioImage,bioimage.com,Denmark,NA,biotechnology,
biolegend,biolegend,BioLegend,biolegend.com,United States of America,NA,biotechnology industry,
biolinerx,biolinerx,BioLineRx,biolinerx.com,Israel,NA,biotechnology,
biomarin pharmaceutical,biomarin pharmaceutical,BioMarin Pharmaceutical,biomarin.com,United States of America,NA,biotechnology,
biomérieux,biomérieux,bioMérieux,biomerieux.com,France,Institut Mérieux,biotechnology,
bionano genomics,bionano genomics,BioNano Genomics,bionanogenomics.com,United States of America,NA,biotechnology industry,
bionor pharma,bionor pharma,Bionor Pharma,bionorpharma.com,Norway,NA,biotechnology,
bionovo,bionovo,Bionovo,bionovo.com,United States of America,NA,biotechnology,
biopharm,biopharm,BioPharm,biopharm.com,United States of America,NA,IT service management|information technology consulting,
biosearch technologies,biosearch technologies,Biosearch Technologies,biosearchtech.com,United States of America,NA,biotechnology,
biosensors international,biosensors international,Biosensors International,biosensors.com,NA,NA,health technology,
biotechpharma,biotechpharma,Biotechpharma,biotechpharma.lt,Lithuania,NA,biotechnology industry,
biotie therapies,biotie therapies,Biotie Therapies,biotie.com,Finland,NA,biotechnology,
biotime,biotime,BioTime,biotimeinc.com,United States of America,NA,biotechnology,
bioviva,bioviva,BioViva,bioviva-science.com,NA,NA,biotechnology,
biox,biox,Biox,NA,Japan,NA,video game industry,
bit managers,bit managers,Bit Managers,bitmanagers.com,Spain,NA,video game industry,
bitarmor,bitarmor,BitArmor,bitarmor.com,NA,NA,software industry,
bitcoincom,bitcoincom,bitcoin.com,bitcoin.com,NA,NA,software|cryptocurrency,
bitcomposer entertainment,bitcomposer entertainment,bitcomposer Entertainment,bit-composer.com,Germany,NA,video game industry,
bitfury,bitfury,Bitfury,bitfury.com,Netherlands,NA,computer hardware|software|blockchain,
bitsensor,bitsensor,BitSensor,bitsensor.io,Netherlands,NA,software industry|web application security|internet industry,
bittium,bittium,Bittium,NA,NA,NA,information technology,
bizarre developments,bizarre developments,Bizarre Developments,NA,United Kingdom,NA,video game industry,
black legend,black legend,Black Legend,NA,NA,NA,video game industry,
black pearl software,black pearl software,Black Pearl Software,NA,United States of America,NA,video game industry,
black wing foundation,black wing foundation,Black Wing Foundation,bwf-game.com,NA,NA,video game industry,
blackbaud,blackbaud,Blackbaud,blackbaud.com,NA,NA,software,
blackberry,blackberry,BlackBerry,blackberry.com,Canada,NA,information technology|internet of things,
blacksky,blacksky,BlackSky,blacksky.com,NA,Spaceflight Industries,software industry,
blend,blend,Blend,NA,United States of America,NA,financial technology,
blimey! games,blimey! games,Blimey! Games,NA,United Kingdom,NA,video game industry,
blindlight,blindlight,Blindlight,blindlight.com,United States of America,NA,video game industry,
blis technologies,blis technologies,Blis Technologies,blis.co.nz,NA,NA,biotechnology,
blitworks,blitworks,BlitWorks,blitworks.com,Spain,NA,video game industry,
blitz,blitz,Blitz,blitz.io,United States of America,NA,software,
blockventure,blockventure,BlockVenture,blockventure.com,United States of America,NA,financial technology,
bloober team,bloober team,Bloober Team,blooberteam.com,Poland,NA,video game industry,
blue isle studios,blue isle studios,Blue Isle Studios,blueislestudios.com,Canada,NA,video game industry,
blue shift,blue shift,Blue Shift Inc.,blueshiftgames.com,United States of America,NA,video game industry,
blue systems,blue systems,Blue Systems,blue-systems.com,Germany,NA,free software,
bluebird bio,bluebird bio,bluebird bio,bluebirdbio.com,United States of America,NA,biotechnology,
bluespace,bluespace,BlueSpace,bluespace.com,United States of America,NA,software,
bluestacks,bluestacks,BlueStacks,bluestacks.com,United States of America,NA,software industry,
bluevine,bluevine,BlueVine,bluevine.com,NA,NA,financial technology,
blur studio,blur studio,Blur Studio,blur.com,United States of America,NA,video game industry,
bmc software,bmc software,BMC Software,bmc.com,United States of America,NA,software industry,
board international,board international,BOARD International,board.com,NA,NA,software,
boats group,boats group,Boats Group,boatsgroup.com,NA,Permira,software,
bohemia interactive,bohemia interactive,Bohemia Interactive,bohemia.net,Czech Republic,NA,video game industry,
boinx software,boinx software,Boinx Software,boinx.com,Germany,NA,software,
bolt,bolt,Bolt,bolt.eu,Estonia,NA,information technology,
booking holdings,booking holdings,Booking Holdings,bookingholdings.com,NA,NA,Travel technology,
boom,boom,Boom,NA,Japan,NA,video game industry,
boonty,boonty,Boonty,uk.boonty.com,NA,NA,video game industry,
boost on,boost on,BOOST ON,asgard-japan.com,Japan,NA,video game industry,
borland,borland,Borland,borland.com,United States of America,Micro Focus International,software industry,
bossalien,bossalien,BossAlien,bossalien.com,United Kingdom,NA,video game industry,
boston animation,boston animation,Boston Animation,NA,United States of America,NA,video game industry,
bothtec,bothtec,Bothtec,bothtec.co.jp,Japan,NA,video game industry,
bottom up,bottom up,Bottom Up,NA,NA,NA,video game industry,
bouvet asa,bouvet asa,Bouvet ASA,bouvet.no,NA,NA,information technology consulting,
box uk,box uk,Box UK,boxuk.com,United Kingdom,NA,agile software development,
brahman,brahman,Brahman,NA,Japan,NA,video game industry,
brainstorm co ltd,brainstorm co ltd,Brainstorm Co. Ltd.,NA,Japan,NA,video game industry,
breakthrough software,breakthrough software,Breakthrough Software,NA,United States of America,NA,software,
bright computing,bright computing,Bright Computing,brightcomputing.com,NA,NA,enterprise software,
bright future,bright future,Bright Future,brightfuture.de,Germany,NA,video game,
brillio,brillio,Brillio,NA,NA,NA,information technology,
british biotech,british biotech,British Biotech,NA,NA,NA,biotechnology,
brt laboratories,brt laboratories,BRT Laboratories,brtlabs.com,NA,NA,biotechnology,
bubble bus software,bubble bus software,Bubble Bus Software,NA,NA,NA,video game industry,
bubble gum interactive,bubble gum interactive,Bubble Gum Interactive,NA,NA,NA,video game industry,
bugsee,bugsee,"Bugsee, Inc.",bugsee.com,United States of America,NA,software industry,
bugseng,bugseng,BUGSENG,bugseng.com,Italy,NA,software industry,
buka entertainment,buka entertainment,Buka Entertainment,buka.ru,NA,NA,video game industry|information technology,
